Name,Identifier,Weight,Sector,Shares Held
Bank of New York Mellon Corporation,BK,0.215949,Financials,11150883
Northrop Grumman Corporation,NOC,0.215358,Industrials,1923734
S&P Global Inc.,SPGI,0.214165,Financials,2787931
Micron Technology Inc.,MU,0.212003,Information Technology,12795736
Illumina Inc.,ILMN,0.209641,Health Care,1622109
Express Scripts Holding Company,ESRX,0.207953,Health Care,6210975
Valero Energy Corporation,VLO,0.204835,Energy,4755870
Boston Scientific Corporation,BSX,0.203304,Health Care,15223298
Norfolk Southern Corporation,NSC,0.202286,Industrials,3122066
Phillips 66,PSX,0.200522,Energy,4630591
American International Group Inc.,AIG,0.198095,Financials,9904444
Emerson Electric Co.,EMR,0.196608,Industrials,6952390
Twenty-First Century Fox Inc. Class A,FOXA,0.195654,Consumer Discretionary,11629284
Capital One Financial Corporation,COF,0.195469,Financials,5367017
Crown Castle International Corp,CCI,0.194172,Real Estate,4576896
Target Corporation,TGT,0.194023,Consumer Discretionary,5882954
Dominion Energy Inc,D,0.193017,Utilities,7199516
Deere & Company,DE,0.192635,Industrials,3577785
MetLife Inc.,MET,0.190761,Financials,11217192
Southern Company,SO,0.189517,Utilities,11161131
Humana Inc.,HUM,0.188204,Health Care,1519089
Vertex Pharmaceuticals Incorporated,VRTX,0.187837,Health Care,2811478
Cigna Corporation,CI,0.185892,Health Care,2705278
Intercontinental Exchange Inc.,ICE,0.184567,Financials,6427920
Praxair Inc.,PX,0.184321,Materials,3170543
Cognizant Technology Solutions Corporation Class A,CTSH,0.181639,Information Technology,6464650
Zoetis Inc. Class A,ZTS,0.178728,Health Care,5367244
General Motors Company,GM,0.178541,Consumer Discretionary,13995151
Marsh & McLennan Companies Inc.,MMC,0.178225,Financials,5628086
Illinois Tool Works Inc.,ITW,0.176107,Industrials,3364239
Exelon Corporation,EXC,0.175326,Utilities,10651273
Prologis Inc.,PLD,0.173024,Real Estate,6940832
Prudential Financial Inc.,PRU,0.169774,Financials,4634134
BB&T Corporation,BBT,0.167813,Financials,8655373
Kimberly-Clark Corporation,KMB,0.167422,Consumer Staples,3887890
HP Inc.,HPQ,0.167121,Information Technology,18248664
Applied Materials Inc.,AMAT,0.166246,Information Technology,11125388
Progressive Corporation,PGR,0.164095,Financials,6425785
Ecolab Inc.,ECL,0.162773,Materials,2863311
Marathon Petroleum Corporation,MPC,0.156594,Energy,5096706
Sherwin-Williams Company,SHW,0.155865,Materials,908415
Marriott International Inc. Class A,MAR,0.152991,Consumer Discretionary,3298921
Eaton Corp. Plc,ETN,0.151748,Industrials,4829897
Baxter International Inc.,BAX,0.151499,Health Care,5478767
Ford Motor Company,F,0.151109,Consumer Discretionary,43184170
HCA Healthcare Inc,HCA,0.150966,Health Care,3075139
Ross Stores Inc.,ROST,0.150915,Consumer Discretionary,4177741
Waste Management Inc.,WM,0.150602,Industrials,4417284
Aon plc,AON,0.150592,Financials,2697816
Delta Air Lines Inc.,DAL,0.149646,Industrials,7145348
Air Products and Chemicals Inc.,APD,0.149018,Materials,2418345
Aflac Incorporated,AFL,0.148632,Financials,8542357
American Electric Power Company Inc.,AEP,0.147853,Utilities,5433678
Travelers Companies Inc.,TRV,0.147633,Financials,3001124
LyondellBasell Industries NV,LYB,0.147573,Materials,3543266
Sysco Corporation,SYY,0.147571,Consumer Staples,5304665
Analog Devices Inc.,ADI,0.14743,Information Technology,4092193
Johnson Controls International plc,JCI,0.147086,Industrials,10208223
Fidelity National Information Services Inc.,FIS,0.146087,Information Technology,3658853
Allstate Corporation,ALL,0.145491,Financials,3878195
Constellation Brands Inc. Class A,STZ,0.143507,Consumer Staples,1853799
Electronic Arts Inc.,EA,0.142208,Information Technology,3385492
SunTrust Banks Inc.,STI,0.141704,Financials,5145962
Equinix Inc.,EQIX,0.140405,Real Estate,876591
Kraft Heinz Company,KHC,0.13893,Consumer Staples,6591631
Williams Companies Inc.,WMB,0.138535,Energy,13099634
Kinder Morgan Inc Class P,KMI,0.137168,Energy,20919956
Fiserv Inc.,FISV,0.134727,Information Technology,4517584
Anadarko Petroleum Corporation,APC,0.134291,Energy,5683164
Autodesk Inc.,ADSK,0.133484,Information Technology,2417535
Southwest Airlines Co.,LUV,0.133293,Industrials,5885855
Halliburton Company,HAL,0.132189,Energy,9664624
Public Storage,PSA,0.131743,Real Estate,1653253
State Street Corporation,STT,0.129273,Financials,4031704
TE Connectivity Ltd.,TEL,0.128291,Information Technology,3858625
Roper Technologies Inc.,ROP,0.128011,Industrials,1138130
Sempra Energy,SRE,0.127612,Utilities,2913707
eBay Inc.,EBAY,0.127401,Information Technology,10200116
Estee Lauder Companies Inc. Class A,EL,0.127028,Consumer Staples,2468490
Regeneron Pharmaceuticals Inc.,REGN,0.126065,Health Care,853753
V.F. Corporation,VFC,0.122374,Consumer Discretionary,3612538
Centene Corporation,CNC,0.122025,Health Care,2263066
Edwards Lifesciences Corporation,EW,0.121282,Health Care,2325481
Moody's Corporation,MCO,0.120746,Financials,1842065
Amphenol Corporation Class A,APH,0.119025,Information Technology,3357704
Yum! Brands Inc.,YUM,0.116371,Consumer Discretionary,3566988
Dollar General Corporation,DG,0.115649,Consumer Discretionary,2804746
O'Reilly Automotive Inc.,ORLY,0.115628,Consumer Discretionary,903996
Pioneer Natural Resources Company,PXD,0.114876,Energy,1880461
PPG Industries Inc.,PPG,0.114332,Materials,2751042
Archer-Daniels-Midland Company,ADM,0.114291,Consumer Staples,6233627
General Mills Inc.,GIS,0.11407,Consumer Staples,6539208
Corning Inc,GLW,0.11403,Information Technology,9164956
T. Rowe Price Group,TROW,0.113041,Financials,2689706
Discover Financial Services,DFS,0.112467,Financials,3899251
ONEOK Inc.,OKE,0.111087,Energy,4535241
Public Service Enterprise Group Inc,PEG,0.109792,Utilities,5574255
Align Technology Inc.,ALGN,0.109537,Health Care,796052
Kroger Co.,KR,0.108347,Consumer Staples,8967617
Lam Research Corporation,LRCX,0.107484,Information Technology,1809805
Weyerhaeuser Company,WY,0.107048,Real Estate,8352220
Alexion Pharmaceuticals Inc.,ALXN,0.106804,Health Care,2451482
Red Hat Inc.,RHT,0.106426,Information Technology,1965390
M&T Bank Corporation,MTB,0.106262,Financials,1603047
DXC Technology Co.,DXC,0.105909,Information Technology,3142310
Fortive Corp.,FTV,0.105692,Industrials,3384409
Digital Realty Trust Inc.,DLR,0.10473,Real Estate,2272273
Ingersoll-Rand Plc,IR,0.104154,Industrials,2772477
McKesson Corporation,MCK,0.103828,Health Care,2229541
AvalonBay Communities Inc.,AVB,0.103781,Real Estate,1518029
Consolidated Edison Inc.,ED,0.103487,Utilities,3428256
Hewlett Packard Enterprise Co.,HPE,0.103299,Information Technology,16851228
Concho Resources Inc.,CXO,0.103264,Energy,2096328
Monster Beverage Corporation,MNST,0.103142,Consumer Staples,4531443
Welltower Inc.,WELL,0.10273,Real Estate,4103895
Xcel Energy Inc.,XEL,0.102686,Utilities,5614305
Carnival Corporation,CCL.U,0.102616,Consumer Discretionary,4479112
Equity Residential,EQR,0.102495,Real Estate,4062585
Zimmer Biomet Holdings Inc.,ZBH,0.102282,Health Care,2230834
PACCAR Inc,PCAR,0.099643,Industrials,3881605
Paychex Inc.,PAYX,0.097674,Information Technology,3527979
Parker-Hannifin Corporation,PH,0.096812,Industrials,1467131
PG&E Corporation,PCG,0.096263,Utilities,5697791
Rockwell Automation Inc.,ROK,0.093626,Industrials,1385660
Advanced Micro Devices Inc.,AMD,0.093544,Information Technology,9055089
Rockwell Collins Inc.,COL,0.092935,Industrials,1801824
Synchrony Financial,SYF,0.092663,Financials,7852763
Aptiv PLC,APTV,0.092493,Consumer Discretionary,2940079
Northern Trust Corporation,NTRS,0.092465,Financials,2347935
KeyCorp,KEY,0.091571,Financials,11651336
NetApp Inc.,NTAP,0.091481,Information Technology,2955701
Cummins Inc.,CMI,0.090079,Industrials,1722770
Edison International,EIX,0.089996,Utilities,3594653
Regions Financial Corporation,RF,0.089607,Financials,12333222
WEC Energy Group Inc,WEC,0.08951,Utilities,3481332
Stanley Black & Decker Inc.,SWK,0.08902,Industrials,1702394
PPL Corporation,PPL,0.088494,Utilities,7712972
CenturyLink Inc.,CTL,0.08842,Telecommunication Services,10831172
Agilent Technologies Inc.,A,0.088026,Health Care,3521709
International Paper Company,IP,0.087868,Materials,4568701
Ventas Inc.,VTR,0.087706,Real Estate,3931463
Andeavor,ANDV,0.087548,Energy,1534032
Devon Energy Corporation,DVN,0.087064,Energy,5774814
IDEXX Laboratories Inc.,IDXX,0.087001,Health Care,959876
Hilton Worldwide Holdings Inc,HLT,0.086964,Consumer Discretionary,3096314
Royal Caribbean Cruises Ltd.,RCL,0.086529,Consumer Discretionary,1879937
Ameriprise Financial Inc.,AMP,0.084788,Financials,1595761
Motorola Solutions Inc.,MSI,0.084712,Information Technology,1788976
DTE Energy Company,DTE,0.084688,Utilities,2001986
AutoZone Inc.,AZO,0.08419,Consumer Discretionary,294021
United Continental Holdings Inc.,UAL,0.08408,Industrials,2600593
IQVIA Holdings Inc,IQV,0.084067,Health Care,1785569
Cerner Corporation,CERN,0.083748,Health Care,3478111
Fifth Third Bancorp,FITB,0.082798,Financials,7563903
Twitter Inc.,TWTR,0.08259,Information Technology,7224064
