Name,Identifier,Weight,Sector,Shares Held
Cimarex Energy Co.,XEC,0.033394,Energy,1052943
Whirlpool Corporation,WHR,0.033182,Consumer Discretionary,707061
Affiliated Managers Group Inc.,AMG,0.033123,Financials,620579
Fortune Brands Home & Security Inc.,FBHS,0.032954,Industrials,1647648
Fluor Corporation,FLR,0.032446,Industrials,1550908
DISH Network Corporation Class A,DISH,0.032355,Consumer Discretionary,2525938
Garmin Ltd.,GRMN,0.032345,Consumer Discretionary,1262730
Harley-Davidson Inc.,HOG,0.031516,Consumer Discretionary,1927239
Campbell Soup Company,CPB,0.031345,Consumer Staples,2109162
Nordstrom Inc.,JWN,0.031313,Consumer Discretionary,1296042
PulteGroup Inc.,PHM,0.030936,Consumer Discretionary,2970087
Kimco Realty Corporation,KIM,0.030407,Real Estate,4687965
Ralph Lauren Corporation Class A,RL,0.030325,Consumer Discretionary,623556
Pentair plc,PNR,0.029356,Industrials,1819485
Jefferies Financial Group Inc.,JEF,0.028795,Financials,3346308
Apartment Investment and Management Company Class A,AIV,0.028252,Real Estate,1735929
Flowserve Corporation,FLS,0.0281,Industrials,1443521
Helmerich & Payne Inc.,HP,0.028041,Energy,1201402
Sealed Air Corporation,SEE,0.027656,Materials,1840235
Hanesbrands Inc.,HBI,0.026769,Consumer Discretionary,4084939
L Brands Inc.,LB,0.026677,Consumer Discretionary,2707760
People's United Financial Inc.,PBCT,0.02649,Financials,3838093
Gap Inc.,GPS,0.026129,Consumer Discretionary,2426487
Macerich Company,MAC,0.02519,Real Estate,1186592
Leggett & Platt Incorporated,LEG,0.02466,Consumer Discretionary,1458348
IPG Photonics Corporation,IPGP,0.024389,Information Technology,418632
Foot Locker Inc.,FL,0.024315,Consumer Discretionary,1361765
Goodyear Tire & Rubber Company,GT,0.023993,Consumer Discretionary,2753741
Coty Inc. Class A,COTY,0.02342,Consumer Staples,5131316
Assurant Inc.,AIZ,0.023311,Financials,607860
Xerox Corporation,XRX,0.023205,Information Technology,2314451
TripAdvisor Inc.,TRIP,0.023042,Consumer Discretionary,1226488
Envision Healthcare Corp.,EVHC,0.022496,Health Care,1336556
H&R Block Inc.,HRB,0.02218,Consumer Discretionary,2258987
Newfield Exploration Company,NFX,0.021805,Energy,2204115
Stericycle Inc.,SRCL,0.021708,Industrials,944351
Mattel Inc.,MAT,0.021592,Consumer Discretionary,3795694
SCANA Corporation,SCG,0.020904,Utilities,1535830
Quanta Services Inc.,PWR,0.020727,Industrials,1630412
News Corporation Class A,NWSA,0.01993,Consumer Discretionary,4229079
Brighthouse Financial Inc.,BHF,0.019719,Financials,1321600
Discovery Inc. Class A,DISCA,0.017645,Consumer Discretionary,1721611
Under Armour Inc. Class A,UAA,0.015541,Consumer Discretionary,2052041
Under Armour Inc. Class C,UA,0.01479,Consumer Discretionary,2078040
News Corporation Class B,NWS,0.00618,Consumer Discretionary,1266491
